8939,UQV100.001,1
9971,UQV100.001,6
2961,UQV100.001,3
6346,UQV100.001,4
9987,UQV100.001,10
5241,UQV100.001,5
1518,UQV100.001,10
9854,UQV100.001,0
2339,UQV100.001,2
1606,UQV100.001,3
8750,UQV100.001,3
9627,UQV100.001,4
9410,UQV100.001,4
6674,UQV100.001,4
9412,UQV100.001,8
9035,UQV100.001,59
2611,UQV100.001,4
7864,UQV100.001,10
9650,UQV100.001,15
7980,UQV100.001,5
5247,UQV100.001,1
5606,UQV100.001,2
4857,UQV100.001,5
8725,UQV100.001,15
7337,UQV100.001,1
3229,UQV100.001,1
6195,UQV100.001,2
6816,UQV100.001,4
4939,UQV100.001,8
5692,UQV100.001,2
4060,UQV100.001,1
8425,UQV100.001,2
9993,UQV100.001,1
9819,UQV100.001,2
2572,UQV100.001,1
7448,UQV100.001,1
7899,UQV100.001,1
1335,UQV100.001,2
2743,UQV100.001,3
6035,UQV100.001,4
2007,UQV100.001,10
6631,UQV100.001,10
1814,UQV100.001,10
7017,UQV100.001,5
3616,UQV100.001,2
8077,UQV100.001,3
5158,UQV100.001,1
9981,UQV100.001,0
9207,UQV100.001,0
8960,UQV100.001,1
1101,UQV100.001,1
1435,UQV100.001,1
2222,UQV100.001,1
2992,UQV100.001,1
5161,UQV100.001,1
5188,UQV100.001,1
5526,UQV100.001,1
6283,UQV100.001,1
6355,UQV100.001,1
6720,UQV100.001,1
2074,UQV100.001,2
5136,UQV100.001,2
6598,UQV100.001,2
8186,UQV100.001,2
7048,UQV100.001,2
9729,UQV100.001,2
9743,UQV100.001,3
3615,UQV100.001,3
2309,UQV100.001,3
8309,UQV100.001,3
8407,UQV100.001,3
7592,UQV100.001,5
6263,UQV100.001,5
9622,UQV100.001,50
5399,UQV100.001,0
8288,UQV100.001,1
4665,UQV100.001,4
2753,UQV100.001,10
8950,UQV100.001,10
5320,UQV100.001,3
7362,UQV100.001,2
7061,UQV100.001,0
8197,UQV100.001,3
9006,UQV100.001,0
4560,UQV100.001,1
5455,UQV100.001,1
3199,UQV100.001,2
3347,UQV100.001,2
6420,UQV100.001,2
5989,UQV100.001,3
8421,UQV100.001,3
8025,UQV100.001,0
8561,UQV100.001,1
1711,UQV100.001,3
4258,UQV100.001,5
2337,UQV100.001,8
8760,UQV100.001,10
8958,UQV100.001,5
6826,UQV100.001,1
5878,UQV100.001,3
5688,UQV100.001,1
6129,UQV100.001,2
4035,UQV100.001,10
9387,UQV100.001,5
5858,UQV100.001,1
5726,UQV100.001,2
3277,UQV100.001,1
1439,UQV100.001,5
8792,UQV100.001,9
7350,UQV100.001,6
5247,UQV100.002,1
6674,UQV100.002,2
5158,UQV100.002,1
2339,UQV100.002,1
9116,UQV100.002,2
2309,UQV100.002,3
9993,UQV100.002,1
9410,UQV100.002,0
4939,UQV100.002,3
5858,UQV100.002,1
8309,UQV100.002,2
4060,UQV100.002,2
8725,UQV100.002,0
5399,UQV100.002,0
6598,UQV100.002,1
1606,UQV100.002,3
9854,UQV100.002,0
9374,UQV100.002,3
1439,UQV100.002,1
5726,UQV100.002,2
9412,UQV100.002,17
9743,UQV100.002,1
9387,UQV100.002,4
1435,UQV100.002,0
7061,UQV100.002,0
3277,UQV100.002,1
4560,UQV100.002,1
5161,UQV100.002,1
5526,UQV100.002,1
6720,UQV100.002,1
7448,UQV100.002,1
8186,UQV100.002,1
8197,UQV100.002,1
7337,UQV100.002,1
7899,UQV100.002,1
1335,UQV100.002,2
5692,UQV100.002,2
7048,UQV100.002,2
8288,UQV100.002,2
6129,UQV100.002,3
3199,UQV100.002,3
8407,UQV100.002,3
7821,UQV100.002,4
6263,UQV100.002,5
9971,UQV100.002,7
5878,UQV100.002,2
8960,UQV100.002,1
2222,UQV100.002,1
5188,UQV100.002,1
5989,UQV100.002,1
6035,UQV100.002,1
9467,UQV100.002,2
3616,UQV100.002,2
8077,UQV100.002,2
4035,UQV100.002,25
1518,UQV100.002,10
8421,UQV100.002,1
2572,UQV100.002,1
2992,UQV100.002,1
5455,UQV100.002,1
6420,UQV100.002,1
6816,UQV100.002,1
6346,UQV100.002,1
2961,UQV100.002,2
7864,UQV100.002,2
7592,UQV100.002,3
9120,UQV100.002,5
2611,UQV100.002,1
6061,UQV100.002,1
1711,UQV100.002,2
9006,UQV100.002,0
9656,UQV100.002,1
6826,UQV100.002,1
8561,UQV100.002,1
6195,UQV100.002,2
9207,UQV100.002,5
5136,UQV100.002,1
5320,UQV100.002,3
9430,UQV100.002,6
6631,UQV100.002,5
8425,UQV100.002,1
7362,UQV100.002,2
7017,UQV100.002,5
8760,UQV100.002,0
9147,UQV100.002,0
9819,UQV100.002,1
3347,UQV100.002,1
3615,UQV100.002,1
6355,UQV100.002,1
5241,UQV100.002,2
4258,UQV100.002,2
4665,UQV100.002,3
7980,UQV100.002,5
8958,UQV100.002,7
9622,UQV100.002,10
2007,UQV100.002,10
9981,UQV100.002,0
8025,UQV100.002,0
6283,UQV100.002,1
2074,UQV100.002,1
2337,UQV100.002,2
9974,UQV100.002,3
2753,UQV100.002,4
2743,UQV100.002,1
5688,UQV100.002,1
9627,UQV100.002,2
4857,UQV100.002,10
3229,UQV100.002,1
7350,UQV100.002,6
9387,UQV100.003,7
7967,UQV100.003,3
8344,UQV100.003,4
7743,UQV100.003,3
8958,UQV100.003,10
1723,UQV100.003,1
8091,UQV100.003,1
1188,UQV100.003,2
7506,UQV100.003,5
9147,UQV100.003,2
1292,UQV100.003,3
3559,UQV100.003,1
5173,UQV100.003,10
6946,UQV100.003,1
5519,UQV100.003,2
6413,UQV100.003,7
4010,UQV100.003,2
